"filename", "language", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\category_dao.dart", "Dart", 0, 19, 0, 1, 6, 26
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\event_dao.dart", "Dart", 0, 0, 0, 0, 1, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\record_dao.dart", "Dart", 0, 20, 0, 1, 5, 26
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\tag_dao.dart", "Dart", 0, 0, 0, 0, 1, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\common\dao\user_dao.dart", "Dart", 0, 35, 0, 1, 7, 43
"c:\Users\49440\Desktop\Time-Tracker\lib\common\model\record.dart", "Dart", 0, 6, 0, 0, 1, 7
"c:\Users\49440\Desktop\Time-Tracker\lib\common\user_manager.dart", "Dart", 0, -4, 0, 0, -1, -5
"c:\Users\49440\Desktop\Time-Tracker\lib\common\utils\data.dart", "Dart", 0, 66, 0, 1, 2, 69
"c:\Users\49440\Desktop\Time-Tracker\lib\page\home\home_controller.dart", "Dart", 0, -19, 0, 0, -6, -25
"c:\Users\49440\Desktop\Time-Tracker\lib\page\home\view.dart", "Dart", 0, -6, 0, 0, -1, -7
"c:\Users\49440\Desktop\Time-Tracker\lib\page\home\widget\my_side_barX.dart", "Dart", 0, -95, 0, 0, -8, -103
"c:\Users\49440\Desktop\Time-Tracker\lib\page\home\widget\screen.dart", "Dart", 0, -35, 0, -1, -7, -43
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\controller.dart", "Dart", 0, -10, 0, -2, -4, -16
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\login_form.dart", "Dart", 0, 148, 0, 2, 7, 157
"c:\Users\49440\Desktop\Time-Tracker\lib\page\login_register\widgets\login_register_form.dart", "Dart", 0, -148, 0, -2, -7, -157
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\time_grid_page.dart", "Dart", 0, 0, 0, 0, 1, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\category_event_line\category_button.dart", "Dart", 0, 3, 0, 0, 0, 3
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\time_line\time_line.dart", "Dart", 0, 21, 0, 1, 5, 27
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid\timgrid_controller.dart", "Dart", 0, -34, 0, 8, 2, -24
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame.dart", "Dart", 0, 1, 0, 0, 0, 1
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\time_line\time_line.dart", "Dart", 0, -15, 0, -1, -4, -20
"c:\Users\49440\Desktop\Time-Tracker\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, -2, 0, 0, -2
"c:\Users\49440\Desktop\Time-Tracker\pubspec.yaml", "YAML", -3, 0, 0, 0, 0, -3
"Total", "-", -3, -47, -2, 9, 0, -43